,Date,Monthly Mean Total Sunspot Number
946,1827-11-30,80.4
947,1827-12-31,76.8
948,1828-01-31,88.0
949,1828-02-29,107.3
950,1828-03-31,108.5
951,1828-04-30,101.9
952,1828-05-31,148.6
953,1828-06-30,163.4
954,1828-07-31,90.4
955,1828-08-31,127.3
956,1828-09-30,83.9
957,1828-10-31,91.1
958,1828-11-30,95.0
959,1828-12-31,78.1
960,1829-01-31,71.6
961,1829-02-28,82.3
962,1829-03-31,120.6
963,1829-04-30,158.4
964,1829-05-31,112.3
965,1829-06-30,123.2
966,1829-07-31,151.5
967,1829-08-31,129.3
968,1829-09-30,88.0
969,1829-10-31,95.3
970,1829-11-30,112.7
971,1829-12-31,94.1
972,1830-01-31,87.0
973,1830-02-28,120.1
974,1830-03-31,141.0
975,1830-04-30,177.3
976,1830-05-31,110.5
977,1830-06-30,108.4
978,1830-07-31,73.2
979,1830-08-31,84.6
980,1830-09-30,103.4
981,1830-10-31,140.6
982,1830-11-30,135.4
983,1830-12-31,136.8
984,1831-01-31,79.0
985,1831-02-28,83.6
986,1831-03-31,155.8
987,1831-04-30,90.9
988,1831-05-31,63.4
989,1831-06-30,55.6
990,1831-07-31,75.4
991,1831-08-31,91.6
992,1831-09-30,63.2
993,1831-10-31,77.1
994,1831-11-30,72.5
995,1831-12-31,48.3
996,1832-01-31,51.5
997,1832-02-29,92.6
998,1832-03-31,91.9
999,1832-04-30,44.8
1000,1832-05-31,68.9
1001,1832-06-30,44.5
1002,1832-07-31,23.3
1003,1832-08-31,14.8
1004,1832-09-30,13.7
1005,1832-10-31,35.2
1006,1832-11-30,23.8
1007,1832-12-31,45.8
1008,1833-01-31,18.7
1009,1833-02-28,24.9
1010,1833-03-31,19.6
1011,1833-04-30,4.6
1012,1833-05-31,21.5
1013,1833-06-30,1.7
1014,1833-07-31,11.6
1015,1833-08-31,9.5
1016,1833-09-30,19.3
1017,1833-10-31,12.5
1018,1833-11-30,9.8
1019,1833-12-31,16.6
1020,1834-01-31,8.2
1021,1834-02-28,30.1
1022,1834-03-31,6.5
1023,1834-04-30,2.4
1024,1834-05-31,14.8
1025,1834-06-30,13.1
1026,1834-07-31,14.4
1027,1834-08-31,6.6
1028,1834-09-30,19.2
1029,1834-10-31,41.3
1030,1834-11-30,50.9
1031,1834-12-31,57.5
1032,1835-01-31,12.4
1033,1835-02-28,40.7
1034,1835-03-31,32.7
1035,1835-04-30,102.4
1036,1835-05-31,72.6
1037,1835-06-30,55.2
1038,1835-07-31,99.6
1039,1835-08-31,98.5
1040,1835-09-30,168.0
1041,1835-10-31,158.6
1042,1835-11-30,166.7
1043,1835-12-31,129.3
1044,1836-01-31,147.6
1045,1836-02-29,179.4
1046,1836-03-31,163.7
1047,1836-04-30,238.0
1048,1836-05-31,185.7
1049,1836-06-30,207.9
1050,1836-07-31,194.6
1051,1836-08-31,179.6
1052,1836-09-30,158.5
1053,1836-10-31,228.9
1054,1836-11-30,201.5
1055,1836-12-31,343.8
1056,1837-01-31,313.4
1057,1837-02-28,292.6
1058,1837-03-31,224.3
1059,1837-04-30,230.3
1060,1837-05-31,186.1
1061,1837-06-30,263.4
1062,1837-07-31,271.2
1063,1837-08-31,223.5
1064,1837-09-30,160.4
1065,1837-10-31,206.2
1066,1837-11-30,178.4
1067,1837-12-31,216.1
